iter	Passed	Remaining
569	24832	9802
570	24867	9755
571	24890	9703
572	24920	9655
573	24973	9615
574	25008	9568
575	25041	9520
576	25081	9476
577	25127	9433
578	25168	9389
579	25191	9338
580	25236	9295
581	25261	9245
582	25287	9195
583	25349	9158
584	25399	9117
585	25438	9072
586	25491	9032
587	25537	8990
588	25575	8944
589	25601	8895
590	25641	8850
591	25681	8806
592	25744	8769
593	25790	8727
594	25861	8693
595	25911	8651
596	25957	8608
597	25997	8564
598	26031	8517
599	26084	8477
600	26105	8426
601	26144	8381
602	26226	8350
603	26245	8299
604	26279	8253
605	26319	8208
606	26365	8166
607	26391	8117
608	26440	8075
609	26488	8033
610	26514	7984
611	26575	7946
612	26607	7899
613	26712	7874
614	26746	7828
615	26770	7779
616	26817	7736
617	26850	7690
618	26895	7647
619	26944	7605
620	26995	7563
621	27070	7529
622	27097	7481
623	27149	7440
624	27216	7402
625	27245	7355
626	27302	7315
627	27333	7268
628	27377	7225
629	27429	7183
630	27475	7140
631	27552	7106
632	27574	7057
633	27622	7014
634	27652	6967
635	27685	6921
636	27728	6877
637	27765	6832
638	27806	6788
639	27849	6744
640	27886	6699
641	27925	6655
642	27971	6612
643	28011	6567
644	28058	6525
645	28116	6484
646	28152	6439
647	28192	6395
648	28254	6356
649	28278	6308
650	28319	6264
651	28370	6222
652	28433	6183
653	28471	6138
654	28505	6092
655	28562	6052
656	28600	6007
657	28659	5967
658	28719	5927
659	28759	5882
660	28807	5839
661	28883	5802
662	28915	5756
663	28960	5713
664	29011	5671
665	29043	5625
666	29080	5580
667	29128	5537
668	29152	5490
669	29172	5442
670	29215	5398
671	29270	5357
672	29316	5314
673	29361	5271
674	29422	5230
675	29503	5193
676	29520	5145
677	29558	5100
678	29585	5054
679	29623	5009
680	29659	4964
681	29685	4918
682	29730	4875
683	29785	4833
684	29818	4788
685	29877	4747
686	29918	4703
687	29974	4661
688	30007	4616
689	30083	4577
690	29743	4476
691	29770	4431
692	29792	4385
693	29838	4342
694	29861	4296
695	29913	4254
696	29949	4211
697	29974	4165
699	29952	4064
700	29997	4022
700	30084	4034
02	29464	3855
703	29509	3814
704	29560	3773
705	29607	3732
706	29639	3689
707	29667	3645
708	29701	3602
709	29785	3565
710	29829	3524
711	29869	3481
712	29942	3443
713	29972	3400
714	30008	3357
715	30033	3313
716	30050	3269
