iter	MultiClass
242	0.2678598168
243	0.2664438624
244	0.2650168974
245	0.2635701508
246	0.2621371527
247	0.2607204073
248	0.2593251096
249	0.2579164638
250	0.2565354703
251	0.2551483295
252	0.2538496953
253	0.2524571721
254	0.2511221575
255	0.2497638984
256	0.248421045
257	0.247171301
258	0.2458319423
259	0.2445625902
260	0.243270648
261	0.2419567155
262	0.2406877423
263	0.2393976796
264	0.2381666167
265	0.2368778385
266	0.2355889051
267	0.234318902
268	0.2330395338
269	0.2317659856
270	0.2305344226
271	0.2293140212
272	0.2281157061
273	0.2268989148
274	0.2256889272
275	0.2245204756
276	0.2233438016
277	0.2221548698
278	0.2209927918
279	0.2198480412
280	0.2186857525
281	0.2175499006
282	0.2164398099
283	0.2152774861
284	0.2141375858
285	0.21285	0.223286	0.2118671888
287	0.210798149
288	0.2096621346
289	0.2085926714
290	0.2074946945
291	0.2064227529
292	0.2053314008
293	0.2042601116
294	0.2031891165
295	0.2021829888
296	0.201109413
297	0.2000366445
298	0.1989826201
299	0.1979410416
300	0.1968979682
301	0.1958557007
302	0.1948235991
303	0.1938236293
304	0.1928037393
305	0.1918350449
306	0.1908177599
307	0.1307	0.199308	0.18308	0.198309	0.18309	0.19310	0.186310	0.19311	0.1859936475
312	0.1850220158
313	0.1840749161
314	0.183124972
315	0.1821641902
316	0.1812184198
317	0.1802933269
318	0.1793760569
319	0.1784741016
320	0.177545445
321	0.1766288881
322	0.1757116586
323	0.1323	0.1842324	0.1324	0.1834325	0.1325	0.1825326	0.1326	0.1816327	0.1327	0.1807328	0.1328	0.1798329	0.1329	0.1789330	0.330	0.17801331	0331	0.177103332	0332	0.17626333	0.333	0.175413866
334	0.1745600245
335	0.1736895729
336	0.1728344826
337	0.1719933321
338	0.17114339	0.339	0.1703005867
340	0.1694838855
341	0.1686565494
342	0.1678327683
343	0.167030518
344	0.1661764284
345	0.1653723027
346	0.1645604269
347	0.1637436951
348	0.1629410326
349	0.1621065324
350	0.1613257564
351	0.1605330753
352	0.1597394797
353	0.1589390092
354	0.1581877771
355	0.1574349104
356	0.1566794906
357	0.1559380231
358	0.1551705404
359	0.154418568
360	0.1536794695
361	0.1529302709
362	0.1522140068
363	0.1515023615
364	0.1507685961
365	0.1500601389
366	0.149312596
367	0.1485912992
368	0.1478651866
369	0.1471447174
370	0.1464113997
371	0.1457085717
372	0.1450230983
373	0.1443141609
374	0.1436168221
375	0.1429485362
376	0.1422343265
377	0.1415311562
378	0.1408568945
379	0.1401966848
380	0.1395223067
381	0.1388951714
382	0.1382360099
383	0.137577443
384	0.1369418497
385	0.1362994801
386	0.1356892042
387	0.1350621792
388	0.1344229778
389	0.133764545
390	0.1331424375
391	0.1325380007
392	0.1319081803
393	0.1312741281
394	0.130646178
395	0.130030897
396	0.1294102877
397	0.1287895306
398	0.1281909716
399	0.1275804848
400	0.1269617905
401	0.126335018
402	0.1257226191
403	0.1251318983
404	0.1245557951
405	0.1239467046
406	0.1233391881
407	0.1227459051
408	0.122185238
409	0.1216256116
410	0.1210402438
411	0.1204799739
412	0.119915125
413	0.1193715364
414	0.1188045508
415	0.1182562649
416	0.1177102056
417	0.1171573415
418	0.1166025072
419	0.1160796085
420	0.1155432416
421	0.1150177903
422	0.114465936
423	0.1139384315
424	0.1134066952
425	0.1128728615
426	0.1123696384
427	0.1118279813
428	0.1113029632
429	0.1107810569
430	0.1102448373
431	0.1097566162
432	0.1092579669
433	0.1087484126
434	0.1082557435
435	0.1077353436
436	0.107236378
437	0.1067345693
438	0.1062359511
439	0.1057524022
440	0.1052397027
441	0.1047465263
442	0.1042436792
443	0.1037513871
444	0.1032807929
445	0.1027786843
446	0.1023009962
447	0.1018334838
448	0.1013667725
449	0.1008902428
450	0.1004234348
451	0.09995307129
452	0.09947869191
453	0.09900008183
454	0.09852838347
455	0.09806703091
456	0.09762354801
457	0.09715245516
458	0.09670826589
459	0.09625605642
460	0.09582174984
461	0.09539294215
462	0.09496882477
463	0.09455139499
464	0.09411057001
465	0.09367618094
466	0.09326981905
467	0.09283789284
468	0.09241010596
469	0.09197928999
470	0.09154586698
471	0.09112181602
472	0.09069945328
473	0.09026672546
474	0.08986235691
475	0.08946851747
476	0.08907065709
477	0.08865526869
478	0.08824700222
479	0.087872218
480	0.0874966672
481	0.08710564022
482	0.08671886923
483	0.08630275009
484	0.08593196583
485	0.08554498033
486	0.08517679949
487	0.08480600277
488	0.08441813911
489	0.08402521211
490	0.0836589877
491	0.08328516289
492	0.08292267426
493	0.08253889863
494	0.08218015419
495	0.08180582933
496	0.08144519757
497	0.08107734796
498	0.08072436279
499	0.08034155403
500	0.07999666388
501	0.07961670549
502	0.07925843159
503	0.07891070634
504	0.07856591244
505	0.07821867651
506	0.07788499159
507	0.07755044988
508	0.0771949789
509	0.07684185714
510	0.076508758
511	0.07616884694
512	0.07582179997
513	0.0754824148
514	0.07514881574
515	0.07480074007
516	0.07446556618
517	0.0741214151
518	0.07378792464
519	0.07345707095
520	0.07312685509
521	0.07279585347
522	0.07246489622
523	0.07212749116
524	0.07182758397
525	0.07149922764
526	0.07117652425
527	0.07085642272
528	0.0705577036
529	0.0702499061
530	0.06993754305
531	0.06963736346
532	0.06933666404
533	0.06901606749
534	0.06870908958
535	0.06842464082
536	0.06811216528
537	0.06779770304
538	0.0675017826
539	0.06720681201
540	0.06690909538
541	0.06663967761
542	0.06633549798
543	0.06603617125
544	0.06576167292
545	0.06546631069
546	0.0651806074
547	0.06488470194
548	0.06459380409
549	0.06431556019
550	0.06401798056
551	0.06373541063
552	0.06345315923
553	0.06317232811
554	0.06289401654
555	0.06263007027
556	0.06236041363
557	0.06208158647
558	0.06180754412
559	0.06154022622
560	0.06126522103
561	0.06100367423
562	0.06073368604
563	0.06046884744
564	0.06020620888
565	0.05995488024
566	0.05969629782
567	0.05943964562
568	0.05919094299
569	0.05893461197
570	0.05867655942
571	0.05843550541
572	0.05817388457
573	0.05794291949
574	0.0577045071
575	0.0574485326
576	0.05719584672
577	0.0569399838
578	0.05670298883
579	0.05646234637
580	0.05622290593
581	0.05598179553
582	0.05572598356
583	0.05549299114
584	0.05526961377
585	0.05502763606
586	0.05478203426
587	0.0545569486
588	0.05433327571
589	0.05410730875
590	0.05386913169
591	0.05364506162
592	0.05342527956
593	0.05319840499
594	0.05297857965
595	0.0527513552
596	0.05253083683
597	0.05231998457
598	0.05209596871
599	0.05186209132
600	0.05164827564
601	0.05142971982
602	0.05121862978
603	0.05100310523
604	0.05078306869
605	0.05056468304
606	0.05035071019
607	0.05013620891
608	0.04991356494
609	0.04970046482
610	0.04949372362
611	0.04928527416
612	0.04906601524
613	0.04886368447
614	0.04866234983
615	0.04847098307
616	0.04827905969
617	0.0480938957
618	0.0478927003
619	0.047688439
620	0.04747723032
621	0.04727215638
622	0.04707335904
623	0.04687577808
624	0.04668438651
625	0.04649217211
626	0.04630870511
627	0.04611803688
628	0.04593986565
629	0.04575584512
630	0.0455593059
631	0.04536604108
632	0.04519041168
633	0.0450120737
634	0.0448360328
635	0.0446562523
636	0.04446832585
637	0.04427448872
638	0.04408234417
639	0.04390546677
640	0.04371751301
641	0.0435377044
642	0.04335784608
643	0.04318487372
644	0.04300457749
645	0.04282668957
646	0.04263717703
647	0.04245756453
648	0.04227363875
649	0.04209577016
650	0.04191893374
651	0.04174384407
652	0.04157518477
653	0.04140221327
654	0.04122279851
655	0.0410501696
656	0.04088398201
657	0.04071738935
658	0.04054825798
659	0.0403844943
660	0.04021952413
661	0.0400624024
662	0.03989588409
663	0.03973069769
664	0.03956244639
665	0.03940446403
666	0.0392380014
667	0.03908465665
668	0.03893481438
669	0.03877232696
670	0.0386082328
671	0.03845085567
672	0.03829540198
673	0.03814205717
674	0.03799449729
675	0.03783138795
676	0.03768688452
677	0.03753152694
678	0.03738523615
679	0.03722939396
680	0.03708456272
681	0.03693874523
682	0.03678383319
683	0.03663727013
684	0.03648988821
685	0.03634073139
686	0.03619178531
687	0.03604513733
688	0.03590017978
689	0.03575186654
47
690	0.03131222029
691	0.03117504056
692	0.0310474315
693	0.03091464245
694	0.03078191583
695	0.0306517889
696	0.03052526403
697	0.03039405589
698	0.0302669421
699	0.0301306975
700	0.02999651615
98
700	0.03372433645
56833
702	0.03162450967
703	0.03149556234
704	0.03137819113
705	0.03124937103
706	0.03112421816
707	0.03099643488
708	0.03086663547
709	0.03074647389
710	0.03063069583
711	0.03050358683
712	0.03038016683
713	0.03025269021
714	0.03012505393
715	0.02999607835
716	0.02987581839
